GEOID,Median_Rent
1400000US06013362000,2022
1400000US06013363000,2093
1400000US06013364002,1796
1400000US06013365002,1422
1400000US06013365003,2032
1400000US06013366001,1791
1400000US06013366002,1454
1400000US06013367100,1373
1400000US06013367200,1709
1400000US06013368001,1621
1400000US06013368002,1329
1400000US06013369001,1619
1400000US06013369002,1622
1400000US06013370000,1815
1400000US06013371000,1752
1400000US06013372000,1707
1400000US06013373000,1673
1400000US06013374000,1296
1400000US06013375000,1499
1400000US06013376000,1346
1400000US06013377000,1333
1400000US06013378000,1793
1400000US06013379000,1448
1400000US06013380001,2221
1400000US06013380002,1181
1400000US06013381000,1244
1400000US06013382000,1268
1400000US06013383000,1465
1400000US06013384000,3012
1400000US06013385100,3189
1400000US06013385200,2528
1400000US06013386000,2038
1400000US06013387000,2031
1400000US06013388000,2055
1400000US06013389100,1897
1400000US06013389200,1813
1400000US06013390100,2462
1400000US06013390200,2396
1400000US06013391000,2675
1400000US06013392000,3500
1400000US06013392201,2169
1400000US06013392202,2216
1400000US06013392300,2848
1400000US06013980000,-
1400000US06013990000,-
1400000US06015000101,966
1400000US06015000102,1206
1400000US06015000104,799
1400000US06015000106,1184
1400000US06015000107,947
1400000US06015000201,952
1400000US06015000202,834
1400000US06015000203,775
1400000US06015990000,-
1400000US06017030201,1179
1400000US06017030202,1001
1400000US06017030301,1005
1400000US06017030302,1340
1400000US06017030402,990
1400000US06017030403,1750
1400000US06017030404,1521
1400000US06017030502,1762
1400000US06017030504,1585
1400000US06017030506,1750
1400000US06017030507,-
1400000US06017030601,1870
1400000US06017030603,1678
1400000US06017030604,-
1400000US06017030605,1355
1400000US06017030606,1750
1400000US06017030701,2107
1400000US06017030706,1763
1400000US06017030709,2049
1400000US06017030710,2802
1400000US06017030711,1796
1400000US06017030712,-
1400000US06017030801,1800
1400000US06017030804,1306
1400000US06017030807,1779
1400000US06017030808,1647
1400000US06017030809,1682
1400000US06017030810,1391
1400000US06017030811,1345
1400000US06017030812,1235
1400000US06017030901,1771
1400000US06017030902,1520
1400000US06017031000,1373
1400000US06017031100,949
1400000US06017031200,1236
1400000US06017031301,1471
1400000US06017031302,1002
1400000US06017031404,1510
1400000US06017031405,1487
1400000US06017031406,1719
1400000US06017031407,845
1400000US06017031408,1377
1400000US06017031409,1346
1400000US06017031503,1848
1400000US06017031504,1435
1400000US06017031505,1512
1400000US06017031506,1409
1400000US06017031601,995
1400000US06017031602,995
1400000US06017031700,-
1400000US06017031800,2750
1400000US06017031900,-
1400000US06017032001,1364
1400000US06017032002,-
1400000US06017990000,-
1400000US06019000100,571
1400000US06019000200,838
1400000US06019000300,896
1400000US06019000400,969
1400000US06019000501,874
1400000US06019000502,795
1400000US06019000601,654
1400000US06019000602,828
1400000US06019000701,860
1400000US06019000702,1075
1400000US06019000901,966
1400000US06019000902,508
1400000US06019001000,1004
1400000US06019001100,1058
1400000US06019001201,1034
1400000US06019001202,1013
1400000US06019001301,986
1400000US06019001303,936
1400000US06019001304,837
1400000US06019001407,871
1400000US06019001408,463
1400000US06019001409,1332
1400000US06019001411,971
1400000US06019001412,1644
1400000US06019001413,1713
1400000US06019001415,923
1400000US06019001416,1763
1400000US06019001417,1701
1400000US06019001418,968
1400000US06019001500,988
1400000US06019001600,931
1400000US06019001700,1155
1400000US06019001800,1100
1400000US06019002000,886
1400000US06019002100,946
1400000US06019002200,1052
1400000US06019002300,920
1400000US06019002400,739
1400000US06019002501,945
1400000US06019002502,829
1400000US06019002601,949
1400000US06019002602,1005
1400000US06019002701,1023
1400000US06019002702,780
1400000US06019002800,861
1400000US06019002903,764
1400000US06019002904,1305
1400000US06019002905,992
1400000US06019002906,850
1400000US06019003001,995
1400000US06019003003,1078
1400000US06019003004,1007
1400000US06019003102,967
1400000US06019003103,1161
1400000US06019003104,966
1400000US06019003201,900
1400000US06019003202,1032
1400000US06019003301,903
1400000US06019003302,1041
1400000US06019003401,740
1400000US06019003402,1127
1400000US06019003500,746
1400000US06019003600,1543
1400000US06019003701,980
1400000US06019003702,1133
1400000US06019003804,1553
1400000US06019003805,1141
1400000US06019003807,931
1400000US06019003808,1283
1400000US06019003809,1130
1400000US06019003810,1333
1400000US06019003811,1756
1400000US06019003812,-
1400000US06019003900,1073
1400000US06019004003,1305
1400000US06019004004,1158
1400000US06019004005,860
1400000US06019004006,779
1400000US06019004100,1090
1400000US06019004205,1078
1400000US06019004208,1446
1400000US06019004210,1211
1400000US06019004211,1744
1400000US06019004212,1161
1400000US06019004213,1037
1400000US06019004214,1885
1400000US06019004215,1730
1400000US06019004216,1568
1400000US06019004217,1098
1400000US06019004218,2358
1400000US06019004301,1497
1400000US06019004302,2106
1400000US06019004303,1380
1400000US06019004404,1121
1400000US06019004405,1667
1400000US06019004406,1318
1400000US06019004409,1247
1400000US06019004410,1189
1400000US06019004411,1270
1400000US06019004503,1205
1400000US06019004504,1125
1400000US06019004505,1004
1400000US06019004506,1094
1400000US06019004601,1106
1400000US06019004602,1097
1400000US06019004703,988
1400000US06019004704,858
1400000US06019004705,1449
1400000US06019004706,993
1400000US06019004801,867
1400000US06019004802,977
1400000US06019004901,1022
1400000US06019004902,1237
1400000US06019005000,1111
1400000US06019005100,924
1400000US06019005202,862
1400000US06019005203,973
1400000US06019005204,1056
1400000US06019005301,1041
1400000US06019005302,947
1400000US06019005304,907
1400000US06019005305,1399
1400000US06019005403,812
1400000US06019005405,1068
1400000US06019005406,1620
1400000US06019005407,1086
1400000US06019005408,1190
1400000US06019005409,983
1400000US06019005410,1067
1400000US06019005503,1732
1400000US06019005504,2051
1400000US06019005505,1887
1400000US06019005507,1625
1400000US06019005508,1888
1400000US06019005509,1445
1400000US06019005512,1685
1400000US06019005513,1817
1400000US06019005514,1702
1400000US06019005515,1268
1400000US06019005516,1787
1400000US06019005518,2059
1400000US06019005520,1988
1400000US06019005522,2154
1400000US06019005524,2191
1400000US06019005525,763
1400000US06019005526,1618
1400000US06019005527,1482
1400000US06019005528,1700
1400000US06019005529,1768
1400000US06019005602,980
1400000US06019005605,1583
1400000US06019005606,1080
1400000US06019005607,1136
1400000US06019005608,1082
1400000US06019005701,1404
1400000US06019005702,1769
1400000US06019005703,1725
1400000US06019005704,1258
1400000US06019005801,1719
1400000US06019005802,1125
1400000US06019005804,1489
1400000US06019005805,1771
1400000US06019005904,1543
1400000US06019005906,1002
1400000US06019005907,1991
1400000US06019005911,1913
1400000US06019005912,2153
1400000US06019005913,1810
1400000US06019005914,2266
1400000US06019005915,1718
1400000US06019005916,-
1400000US06019006001,885
1400000US06019006002,944
1400000US06019006101,783
1400000US06019006102,945
1400000US06019006201,927
1400000US06019006202,980
1400000US06019006301,905
1400000US06019006302,1266
1400000US06019006405,1308
1400000US06019006406,1073
1400000US06019006407,487
1400000US06019006408,1682
1400000US06019006409,796
1400000US06019006410,-
1400000US06019006411,-
1400000US06019006501,833
1400000US06019006502,636
1400000US06019006602,943
1400000US06019006603,1123
1400000US06019006605,936
1400000US06019006606,991
1400000US06019006700,981
1400000US06019006802,690
1400000US06019006900,775
1400000US06019007002,821
1400000US06019007003,1054
1400000US06019007004,1120
1400000US06019007101,1004
1400000US06019007102,925
1400000US06019007202,1007
1400000US06019007203,-
1400000US06019007204,1138
1400000US06019007300,1158
1400000US06019007400,941
1400000US06019007500,1036
1400000US06019007600,749
1400000US06019007700,870
1400000US06019007801,922
1400000US06019007802,681
1400000US06019007903,1093
1400000US06019008000,818
